Room_URI	Room	Capacity	Institute	Approval Mode	Availability	Building	Address	Room Number
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=ATIB	Atominstitut Bibliothek	25	E141	persönlich	Verfügbar	Atominstitut	Stadionallee 2, 1. Stock, links	ZA0115
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=ABL	Aufbaulabor	120	E401	persönlich	Verfügbar	Hauptgebäude	Karlsplatz 13, Hauptgebäude, Stiege 7, 1.Stock	AH0105
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=EG	Ausstellungshalle	200	E401	persönlich	Verfügbar	ARSENAL OBJEKT 219	Franz Grill Str . / Lilienthalg.,	OVEGE01
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BRG	Besprechungsraum Galerie	14	E006	via TISS	Verfügbar	Institutsgebäude	Argentinierstr. 8, Argentinierstrasse 8, 1. Stock	EAZE04
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BRK	Besprechungsraum Kuppel	8	E006	via TISS	Verfügbar	Institutsgebäude	Argentinierstr. 8, Argentienerstraße 8, EG	EAEG05A
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CB0115	Bibliothek E 351	20	E354	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29,	
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=EDVP	EDV Praktikum Physik	32	E134	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm A, grüner Bereich, 1. OG	DB01E09
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E1	EI 1 Petritsch HS	63	E006	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0242
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E10	EI 10 Fritz Paschke HS	151	E184	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 1, Erdgeschoss	CAEG31
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E11	EI 11 Geodäsie HS	94	E120	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 1, 3. Stock	CD0304
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E2	EI 2 Pichelmayer HS	123	E184	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0235
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3	EI 3 Sahulka HS	184	E006	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0205
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3A	EI 3A Hörsaal	59	E006	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0213
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E4	EI 4 Reithoffer HS	90	E006	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0245
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E5	EI 5 Hochenegg HS	114	E280	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0229
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E6	EI 6 Eckert HS	32	E006	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 10, 6. Stock	CF0453
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E7	EI 7 Hörsaal	434	E006	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 1, Erdgeschoss	CDEG13
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E8	EI 8 Pötzl HS	139	E184	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 1, Erdgeschoss	CDEG08
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E9	EI 9 Hlawka HS	181	E006	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 1, Erdgeschoss	CAEG17
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F8	FH 8 Nöbauer HS	203	E101	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 2. OG	DB02H12
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F1	FH Hörsaal 1	383	E402	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm C, roter Bereich, 1. u. 2. OG	DC02H03
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F2	FH Hörsaal 2	53	E006	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 2. OG	DB02O23
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F3	FH Hörsaal 3	87	E101	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 2. OG	DB02O13
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F4	FH Hörsaal 4	54	E006	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 2. OG	DB02O05
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F5	FH Hörsaal 5	198	E134	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm A, grüner Bereich, 2. OG	DA02G15
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F6	FH Hörsaal 6	198	E134	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm A, grüner Bereich, 2. OG	DA02K01
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F7	FH Hörsaal 7	70	E101	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 2. OG	DB02H04
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AUDI	GM 1 Audi. Max.	500	E006	via TISS	Verfügbar	Plus Energie Büro Hochhaus	Getreidemarkt 9, Bauteil BA Hochhaus, EG	BAU178A
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=RADI	GM 2 Radinger Hörsaal	240	E006	via TISS	Verfügbar	Hoftrakt	Getreidemarkt 9, Bauteil BD Hoftrakt, 1.OG	BD01B33
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=VORT+HS	GM 3 Vortmann Hörsaal	110	E006	via TISS	Verfügbar	Plus Energie Büro Hochhaus	Getreidemarkt 9, Bauteil BA Hochhaus, 2.OG	BA02A05
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=ATIB	Atominstitut Bibliothek	25	E141	persönlich	Verfügbar	Atominstitut	Stadionallee 2, 1. Stock, links	ZA0115
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=ABL	Aufbaulabor	120	E401	persönlich	Verfügbar	Hauptgebäude	Karlsplatz 13, Hauptgebäude, Stiege 7, 1.Stock	AH0105
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=EG	Ausstellungshalle	200	E401	persönlich	Verfügbar	ARSENAL OBJEKT 219	Franz Grill Str . / Lilienthalg.,	OVEGE01
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BRG	Besprechungsraum Galerie	14	E006	via TISS	Verfügbar	Institutsgebäude	Argentinierstr. 8, Argentinierstrasse 8, 1. Stock	EAZE04
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=BRK	Besprechungsraum Kuppel	8	E006	via TISS	Verfügbar	Institutsgebäude	Argentinierstr. 8, Argentienerstraße 8, EG	EAEG05A
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=CB0115	Bibliothek E 351	20	E354	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29,	
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=EDVP	EDV Praktikum Physik	32	E134	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm A, grüner Bereich, 1. OG	DB01E09
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E1	EI 1 Petritsch HS	63	E006	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0242
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E10	EI 10 Fritz Paschke HS	151	E184	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 1, Erdgeschoss	CAEG31
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E11	EI 11 Geodäsie HS	94	E120	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 1, 3. Stock	CD0304
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E2	EI 2 Pichelmayer HS	123	E184	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0235
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3	EI 3 Sahulka HS	184	E006	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0205
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E3A	EI 3A Hörsaal	59	E006	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0213
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E4	EI 4 Reithoffer HS	90	E006	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0245
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E5	EI 5 Hochenegg HS	114	E280	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, 2. Stock	CF0229
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E6	EI 6 Eckert HS	32	E006	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 10, 6. Stock	CF0453
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E7	EI 7 Hörsaal	434	E006	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 1, Erdgeschoss	CDEG13
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E8	EI 8 Pötzl HS	139	E184	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 1, Erdgeschoss	CDEG08
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=E9	EI 9 Hlawka HS	181	E006	via TISS	Verfügbar	Elektrot.Institutsg.	Gußhausstr. 25-29, Stiege 1, Erdgeschoss	CAEG17
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F8	FH 8 Nöbauer HS	203	E101	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 2. OG	DB02H12
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F1	FH Hörsaal 1	383	E402	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm C, roter Bereich, 1. u. 2. OG	DC02H03
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F2	FH Hörsaal 2	53	E006	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 2. OG	DB02O23
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F3	FH Hörsaal 3	87	E101	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 2. OG	DB02O13
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F4	FH Hörsaal 4	54	E006	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 2. OG	DB02O05
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F5	FH Hörsaal 5	198	E134	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm A, grüner Bereich, 2. OG	DA02G15
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F6	FH Hörsaal 6	198	E134	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm A, grüner Bereich, 2. OG	DA02K01
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=F7	FH Hörsaal 7	70	E101	via TISS	Verfügbar	Freihausgebäude	Wiedner Hauptstr. 8, Turm B, gelber Bereich, 2. OG	DB02H04
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=AUDI	GM 1 Audi. Max.	500	E006	via TISS	Verfügbar	Plus Energie Büro Hochhaus	Getreidemarkt 9, Bauteil BA Hochhaus, EG	BAU178A
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=RADI	GM 2 Radinger Hörsaal	240	E006	via TISS	Verfügbar	Hoftrakt	Getreidemarkt 9, Bauteil BD Hoftrakt, 1.OG	BD01B33
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=VORT+HS	GM 3 Vortmann Hörsaal	110	E006	via TISS	Verfügbar	Plus Energie Büro Hochhaus	Getreidemarkt 9, Bauteil BA Hochhaus, 2.OG	BA02A05
https://tiss.tuwien.ac.at/events/roomSchedule.xhtml?roomCode=KNOL	GM 4 Knoller Hörsaal	104	E307	via TISS	Verfügbar	Hoftrakt	Getreidemarkt 9, Bauteil BD Hoftrakt, 2.OG	BD02D32
